Stats: nwalkers=32, nthreads=1, nsamples=1600, time=416.920, sps=3.838, effective_sps=3.070
Stats: nwalkers=32, nthreads=2, nsamples=1600, time=225.881, sps=7.083, effective_sps=5.667
Stats: nwalkers=32, nthreads=4, nsamples=1600, time=135.526, sps=11.806, effective_sps=9.445
Stats: nwalkers=32, nthreads=8, nsamples=1600, time=73.605, sps=21.738, effective_sps=17.390
Stats: nwalkers=32, nthreads=16, nsamples=1600, time=57.893, sps=27.637, effective_sps=22.110
Stats: nwalkers=32, nthreads=32, nsamples=1600, time=52.282, sps=30.604, effective_sps=24.483
Stats: nwalkers=32, nthreads=64, nsamples=1600, time=51.054, sps=31.339, effective_sps=25.071
Stats: nwalkers=32, nthreads=128, nsamples=1600, time=53.332, sps=30.001, effective_sps=24.001
Stats: nwalkers=64, nthreads=1, nsamples=3200, time=820.000, sps=3.902, effective_sps=3.122
Stats: nwalkers=64, nthreads=2, nsamples=3200, time=393.160, sps=8.139, effective_sps=6.511
Stats: nwalkers=64, nthreads=4, nsamples=3200, time=250.490, sps=12.775, effective_sps=10.220
Stats: nwalkers=64, nthreads=8, nsamples=3200, time=141.771, sps=22.572, effective_sps=18.057
Stats: nwalkers=64, nthreads=16, nsamples=3200, time=89.725, sps=35.664, effective_sps=28.532
Stats: nwalkers=64, nthreads=32, nsamples=3200, time=66.270, sps=48.287, effective_sps=38.630
Stats: nwalkers=64, nthreads=64, nsamples=3200, time=68.516, sps=46.705, effective_sps=37.364
Stats: nwalkers=64, nthreads=128, nsamples=3200, time=68.450, sps=46.749, effective_sps=37.399
Stats: nwalkers=64, nthreads=256, nsamples=3200, time=67.608, sps=47.332, effective_sps=37.865
Stats: nwalkers=128, nthreads=1, nsamples=6400, time=1486.796, sps=4.305, effective_sps=3.444
Stats: nwalkers=128, nthreads=2, nsamples=6400, time=854.347, sps=7.491, effective_sps=5.993
Stats: nwalkers=128, nthreads=4, nsamples=6400, time=466.313, sps=13.725, effective_sps=10.980
Stats: nwalkers=128, nthreads=8, nsamples=6400, time=276.947, sps=23.109, effective_sps=18.487
Stats: nwalkers=128, nthreads=16, nsamples=6400, time=158.953, sps=40.264, effective_sps=32.211
Stats: nwalkers=128, nthreads=32, nsamples=6400, time=105.082, sps=60.905, effective_sps=48.724
Stats: nwalkers=128, nthreads=64, nsamples=6400, time=95.054, sps=67.330, effective_sps=53.864
Stats: nwalkers=128, nthreads=128, nsamples=6400, time=95.722, sps=66.860, effective_sps=53.488
Stats: nwalkers=128, nthreads=256, nsamples=6400, time=96.003, sps=66.665, effective_sps=53.332
Stats: nwalkers=128, nthreads=512, nsamples=6400, time=97.117, sps=65.900, effective_sps=52.720
Stats: nwalkers=256, nthreads=1, nsamples=6400, time=1718.011, sps=3.725, effective_sps=2.980
Stats: nwalkers=256, nthreads=2, nsamples=6400, time=822.075, sps=7.785, effective_sps=6.228
Stats: nwalkers=256, nthreads=4, nsamples=6400, time=474.790, sps=13.480, effective_sps=10.784
Stats: nwalkers=256, nthreads=8, nsamples=6400, time=261.187, sps=24.504, effective_sps=19.603
Stats: nwalkers=256, nthreads=16, nsamples=6400, time=157.699, sps=40.584, effective_sps=32.467
Stats: nwalkers=256, nthreads=32, nsamples=6400, time=90.810, sps=70.477, effective_sps=56.382
Stats: nwalkers=256, nthreads=64, nsamples=12800, time=161.228, sps=79.391, effective_sps=63.513
Stats: nwalkers=256, nthreads=128, nsamples=12800, time=164.485, sps=77.819, effective_sps=62.255
Stats: nwalkers=256, nthreads=256, nsamples=12800, time=169.141, sps=75.676, effective_sps=60.541
Stats: nwalkers=256, nthreads=512, nsamples=12800, time=158.851, sps=80.579, effective_sps=64.463
Stats: nwalkers=256, nthreads=1024, nsamples=12800, time=164.095, sps=78.003, effective_sps=62.403
Stats: nwalkers=512, nthreads=2, nsamples=12800, time=1672.399, sps=7.654, effective_sps=6.123
Stats: nwalkers=512, nthreads=4, nsamples=12800, time=926.359, sps=13.818, effective_sps=11.054
Stats: nwalkers=512, nthreads=8, nsamples=12800, time=573.646, sps=22.313, effective_sps=17.851
Stats: nwalkers=512, nthreads=16, nsamples=12800, time=282.211, sps=45.356, effective_sps=36.285
Stats: nwalkers=512, nthreads=32, nsamples=12800, time=176.516, sps=72.515, effective_sps=58.012
Stats: nwalkers=512, nthreads=64, nsamples=12800, time=130.652, sps=97.970, effective_sps=78.376
Stats: nwalkers=512, nthreads=128, nsamples=25600, time=261.529, sps=97.886, effective_sps=78.309
Stats: nwalkers=512, nthreads=256, nsamples=25600, time=267.519, sps=95.694, effective_sps=76.555
Stats: nwalkers=512, nthreads=512, nsamples=25600, time=267.342, sps=95.758, effective_sps=76.606
Stats: nwalkers=512, nthreads=1024, nsamples=25600, time=256.332, sps=99.870, effective_sps=79.896
Stats: nwalkers=512, nthreads=2048, nsamples=25600, time=257.919, sps=99.256, effective_sps=79.405
Stats: nwalkers=1024, nthreads=4, nsamples=25600, time=1718.143, sps=14.900, effective_sps=11.920
Stats: nwalkers=1024, nthreads=8, nsamples=25600, time=1061.028, sps=24.128, effective_sps=19.302
Stats: nwalkers=1024, nthreads=16, nsamples=25600, time=592.623, sps=43.198, effective_sps=34.558
Stats: nwalkers=1024, nthreads=32, nsamples=25600, time=330.454, sps=77.469, effective_sps=61.975
Stats: nwalkers=1024, nthreads=64, nsamples=25600, time=218.650, sps=117.082, effective_sps=93.666
Stats: nwalkers=1024, nthreads=128, nsamples=25600, time=221.098, sps=115.786, effective_sps=92.628
Stats: nwalkers=1024, nthreads=256, nsamples=51200, time=431.960, sps=118.529, effective_sps=94.824
Stats: nwalkers=1024, nthreads=512, nsamples=51200, time=426.998, sps=119.907, effective_sps=95.926
Stats: nwalkers=1024, nthreads=1024, nsamples=51200, time=424.882, sps=120.504, effective_sps=96.403
Stats: nwalkers=1024, nthreads=2048, nsamples=51200, time=426.545, sps=120.034, effective_sps=96.027
Stats: nwalkers=1024, nthreads=4096, nsamples=51200, time=404.497, sps=126.577, effective_sps=101.261
